Subj	Age	Gender	SES	SISI_SCORE	Fusion_SCORE	MassAttendance	RelIDBASIC	Believe_God	God_Always_Never	GodCertainty_1	CatholicBelief_SCORE	CathMoral_SCORE	Rej_Church	Rej_The_Ath	CN_CR_TR_AR	CN_CR_NC	IntMorRej	RejFact_1_Catholicreligiousbeliefsdidntmakesenseorwereu	RejFact_2_TheCatholicChurchsmoralvaluesareoutofdateor	RejFact_3_Thebehaviourofpeoplearoundmewhocalledthemselve	RejFact_4_ThesexualabusescandalsintheCatholicChurch	RejFact_5_ThefeelingthattheCatholicChurchwantstocontrol	RejFact_6_Catholicismwasirrelevanttomylife	RejFact_7_Ilearnedmoreaboutatheisthumanistsecularideas	RejFact_8_BoredomwithCatholicreligiousservices	RejFact_9_Ilearnedmoreaboutotherreligiousorspiritualbeli	RejFact_10_PeoplearoundmemostlypractisedCatholicismoutof	RejFact_12_Ilearnedmoreaboutscience	ParentsCatholic	CRED_SCORE	CathInfGood_Bad	ChurchInfToday	Trust_1_Atheists	Trust_2_Priests	Trust_5_Bishops	ScEmo_1_Anger	ScEmo_2_Disgust	ScEmo_3_Contempt	ScEmo_4_Shame	ScEmo_Amusement	ScEmo_Sadness	ScEmo_Disbelief	ScEmo_Shock	ScEmo_Norealfeelingsaboutit	ScEmo_Vindication_Ialreadyknewthechurchwasbad	Paedo_%	CredDepl_1_GotoMass	CredDepl_2_GotoConfession	CredDepl_3_DonatemoneytotheChurchortoCatholiccharities	CredDepl_4_Gotothechurchtolightcandles	CredDepl_5_ReceiveashesonAshWednesday	CredDepl_6_Prayinfrontofotherpeople	CredDepl_7_Celebrateimportanteventsinmylifeormychildren	CredDepl_8_Blessmyselfwhilepassingachurch	CredDepl_9_GivesomethingupforLent	CredDepl_10_Confrontfamilymembersorpeopleinmycommunitywh	CredDepl_11_HidethefactthatIdidntreallybelieveinCathol	CredDepl_12_Noneoftheabove	Causes_1_Homosexualsjoiningthepriesthood	Causes_2_Paedophilesjoiningthepriesthood	Causes_3_Priestswerenottrainedaswellastheyusedtobe	Causes_4_IrishpeopleweretooobedienttoquestiontheChurchc	Causes_5_TheChurchcaredmoreaboutitsreputationthanaboutp	Causes_6_Priestlycelibacypriestsarenotallowedtomarry	Causes_7_Peoplewerelessawareofchildabuseinthepast	Causes_8_Peopleknewbutturnedablindeyetowhatwashappenin	Causes_9_TheChurchhadtoomuchpowerovertheState	Causes_10_Aresultofdecliningmoralsinsocietyingeneral	Causes_11_Theexploitationoftheissuebypeoplewhoareagains	Causes_12_OtherPleasesaywhatthisisintheboxbelow	Progressivism	MF_CUT	UrbRural	UrbRural_D	CSchool	SES2
1	1	2	3	22	29	5	1	1	1	6	26	18	1	2	2	2	3	4	4	4	3	4	4	3	2	3	4	4	2	32	4	5	7	2	9	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	CUT	1	1	3	5
2	5	1	3	10	15	2	2	0	3	2	9	12	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	1	36	3	5	4	6	7	1	3	4	8	6	5	10	2	9	7	20	1	0	1	0	0	0	1	0	0	0	0	0	5	6	6	5	5	6	3	6	7	3	3	4	 	CUT	1	1	1	5
4	4	1	4	21	17	2	2	1	1	5	19	21	1	2	3	3	2	5	6	7	7	7	3	3	4	3	6	4	1	36	3	3	3	4	5	3	2	1	6	9	5	7	8	10	4	30	1	1	1	0	1	0	0	0	0	0	0	0	7	7	5	7	7	7	4	7	7	6	3	1	-12	 	2	1	3	4
5	6	1	4	28	49	2	1	1	1	7	42	7	1	2	2	2	3	7	7	7	7	7	7	7	7	7	6	7	1	56	2	4	7	3	4	7	2	4	3	10	1	5	6	9	8	9	1	0	0	0	0	0	0	0	1	0	0	0	7	7	7	7	7	7	7	7	7	7	7	1	0	CUT	1	1	3	4
6	2	1	4	28	46	5	3	1	1	7	40	35	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	40	1	4	6	5	4	8	1	10	3	5	6	4	2	7	9	54	1	1	0	1	0	0	1	0	0	0	0	0	4	3	4	5	5	6	6	4	4	5	4	5	0	CUT	3	2	1	4
7	1	1	3	4	7	2	2	0	3	2	6	7	1	3	4	3	1	6	7	4	7	7	7	5	3	4	7	6	1	28	3	5	2	6	10	3	1	9	4	10	2	5	6	8	7	30	0	0	1	1	1	1	1	0	0	0	1	0	1	5	1	7	7	3	7	7	7	3	4	3	6	 	3	2	1	5
8	2	2	4	12	17	2	2	1	1	7	34	21	1	2	3	3	3	6	7	7	7	7	3	1	7	6	4	4	1	34	3	1	4	7	6	1	3	2	7	10	5	6	4	9	8	82	1	1	1	0	1	0	0	0	1	0	0	0	6	6	5	7	7	4	6	7	7	6	6	1	0	CUT	5	2	1	4
9	2	2	11	28	45	3	1	1	1	7	40	12	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	51	4	3	4	2	5	6	1	9	3	7	2	5	4	8	10	42	0	0	0	1	1	0	1	1	1	1	0	0	5	7	7	7	5	7	7	7	7	7	7	1	-20	 	2	1	1	 
10	3	1	3	18	16	1	1	1	1	7	25	7	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	36	2	4	9	3	6	6	2	7	3	8	1	4	5	10	9	12	0	0	0	0	0	0	0	1	0	1	0	0	4	7	7	4	7	1	2	7	4	7	4	7	-11	 	1	1	1	5
11	5	1	3	4	7	2	2	0	3	1	7	7	1	3	4	3	3	7	7	6	6	1	7	6	2	1	6	7	1	24	3	5	1	7	9	5	2	4	8	9	3	10	6	7	1	61	0	0	1	0	1	0	0	0	1	0	0	0	4	7	1	7	7	7	7	6	7	1	1	7	16	 	2	1	1	5
12	3	1	1	5	7	2	3	0	4	1	6	19	1	3	4	3	1	3	5	5	2	7	6	4	4	7	5	4	1	32	3	6	4	8	10	4	1	2	3	10	6	9	8	7	5	13	0	0	1	0	1	0	1	0	0	0	0	0	1	7	1	6	7	4	2	7	7	1	1	4	3	 	2	1	1	7
13	5	2	2	16	14	3	2	1	1	3	18	14	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	44	3	3	4	5	6	1	2	3	7	10	5	6	4	9	8	10	1	1	0	0	0	0	0	0	0	0	0	0	6	7	2	7	7	7	5	4	7	3	2	1	-7	 	2	1	1	6
14	1	1	6	7	7	3	2	0	3	2	6	25	1	3	4	3	2	6	5	5	7	6	5	2	4	4	5	4	1	40	2	2	8	7	6	2	3	9	10	6	5	4	1	8	7	19	1	1	1	0	0	0	0	1	0	0	0	0	6	6	6	5	5	4	4	6	6	5	5	6	0	CUT	5	2	1	 
15	1	2	2	4	7	2	2	1	1	7	9	16	1	2	3	3	3	5	7	6	7	7	4	3	3	7	7	4	4	 	3	4	1	9	10	4	2	8	5	7	3	6	9	10	1	72	0	0	1	0	0	0	0	1	0	0	0	0	7	7	4	7	7	7	5	6	7	7	3	1	-1	 	5	2	4	6
16	2	2	2	14	23	4	3	1	1	6	24	7	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	47	2	6	7	5	6	7	2	8	1	9	3	6	5	4	10	16	0	1	0	0	0	0	0	0	1	0	0	0	1	7	4	5	4	7	5	6	7	5	6	4	-10	 	3	2	1	6
17	3	2	8	7	7	2	2	1	1	4	6	7	1	2	2	2	3	3	7	5	6	5	6	4	5	6	3	2	1	38	3	2	5	4	6	2	1	4	7	10	5	6	3	9	8	15	0	0	0	0	0	0	0	0	0	0	1	0	1	7	4	7	7	1	5	7	7	2	3	4	14	 	4	2	1	2
18	4	1	9	13	14	2	3	1	1	5	8	8	1	2	2	2	3	7	7	6	4	7	7	4	1	4	4	4	1	50	3	5	5	7	10	2	1	3	5	10	4	7	8	9	6	82	1	1	1	0	1	0	0	0	0	0	0	0	1	4	2	4	1	1	2	3	7	2	3	1	-7	 	3	2	1	1
19	3	2	10	18	10	2	2	1	3	2	10	8	1	2	3	3	3	7	7	2	7	7	4	1	5	1	3	4	1	25	2	2	4	2	7	2	1	3	4	9	5	8	7	10	6	70	0	0	1	0	0	0	1	0	0	0	0	0	1	7	1	7	7	7	3	7	6	2	2	1	-1	 	3	2	1	 
20	4	2	2	28	39	5	1	1	1	7	40	25	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	39	2	4	4	1	6	6	1	2	7	10	4	3	5	9	8	14	0	0	0	0	0	0	0	0	0	1	0	0	2	6	4	4	5	4	4	7	6	4	4	1	-7	 	5	2	1	6
21	4	2	8	13	14	3	1	1	1	5	30	18	1	2	2	2	4	4	5	4	7	6	3	1	3	1	4	3	1	45	2	3	6	3	5	1	2	3	4	9	5	6	7	10	8	10	1	1	1	0	0	0	0	0	1	0	0	0	5	5	1	7	7	6	2	6	7	3	2	1	-13	 	3	2	1	2
22	3	2	3	4	7	1	2	0	3	3	6	7	1	3	4	3	3	7	7	4	4	7	7	4	5	7	4	7	2	23	3	3	2	9	10	1	3	4	2	10	6	7	5	9	8	10	0	0	0	0	0	0	0	0	0	0	0	1	1	7	1	7	7	1	1	7	7	1	1	 	24	 	1	1	1	5
23	5	1	5	28	47	5	1	1	1	7	40	12	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	47	1	6	6	2	4	2	3	4	6	10	1	7	5	8	9	10	0	1	1	0	1	0	0	0	1	0	0	0	2	7	7	7	5	7	6	7	6	7	7	1	-18	 	3	2	1	3
24	4	2	2	24	25	5	1	1	1	6	34	21	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	48	1	6	8	10	6	1	4	8	3	10	7	2	5	9	6	21	0	0	0	0	0	0	0	0	0	0	0	1	5	5	3	3	6	3	5	6	5	3	3	 	0	CUT	5	2	1	6
25	1	2	10	15	14	2	1	1	1	4	11	7	1	2	2	2	3	7	7	3	7	7	2	7	6	3	4	7	1	30	3	1	8	3	5	4	1	9	2	6	8	7	5	10	3	29	1	1	1	1	1	0	0	1	1	0	1	0	1	7	4	4	7	7	7	7	7	4	1	 	-7	 	4	2	1	 
26	4	2	2	9	7	1	2	0	3	3	7	7	1	3	4	3	3	6	6	6	6	6	7	2	6	7	7	7	1	38	2	2	5	8	7	4	1	2	6	10	3	8	7	9	5	31	0	1	0	0	0	0	0	0	0	0	1	0	7	7	2	7	5	7	6	7	6	5	4	 	-13	 	4	2	1	6
27	3	1	3	5	7	1	2	0	3	2	8	9	1	3	4	3	3	6	6	1	6	4	5	2	4	3	3	4	1	46	3	3	5	4	3	2	1	4	6	10	5	8	3	7	9	30	1	0	0	0	0	0	0	0	0	0	1	0	1	5	3	5	6	4	1	6	2	1	1	 	-17	 	2	1	1	5
28	3	1	4	6	7	2	2	0	3	3	24	10	1	3	4	3	1	5	5	5	5	5	5	5	5	5	5	4	1	12	3	3	7	4	5	6	1	5	7	8	3	4	2	10	9	15	1	1	1	0	0	0	0	0	0	0	0	0	1	6	2	7	7	1	1	7	7	3	6	1	0	CUT	1	1	1	4
29	2	2	6	14	12	4	1	1	1	6	22	7	1	2	2	2	2	3	7	4	7	1	3	1	7	1	4	6	1	47	4	4	5	10	9	3	1	7	4	10	6	5	2	9	8	52	1	0	1	0	0	0	0	0	0	0	0	0	7	7	4	7	7	7	7	7	7	4	7	 	-14	 	4	2	1	 
30	2	1	5	4	7	1	2	0	4	2	6	14	1	3	4	3	3	6	3	4	3	5	5	4	3	3	6	6	1	23	4	4	3	6	7	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	0	CUT	1	1	4	3
31	5	2	4	19	33	5	1	1	1	6	34	31	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	45	4	5	9	7	6	1	4	2	6	8	3	9	5	10	7	50	0	0	0	0	0	0	0	0	0	0	0	1	4	4	5	7	7	6	6	6	5	4	5	 	-12	 	2	1	1	4
32	5	1	3	28	45	6	1	1	1	7	42	25	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	50	1	5	7	1	5	1	4	5	6	8	2	7	3	9	10	22	0	0	0	0	0	0	0	0	0	0	0	1	4	3	4	6	6	7	5	6	5	5	3	 	-19	 	3	2	1	5
33	3	1	2	4	7	2	2	0	3	1	6	7	1	3	4	3	3	7	7	5	3	7	5	1	1	1	5	4	1	47	3	5	6	5	4	1	2	3	5	9	4	6	10	8	7	15	0	0	0	0	0	0	0	0	0	0	0	1	1	5	1	7	6	6	1	4	7	1	1	1	4	 	1	1	1	6
34	2	1	5	9	13	2	1	1	2	4	11	18	1	2	2	2	4	5	5	5	6	6	5	5	6	3	6	2	1	36	3	2	2	10	8	2	1	7	3	10	4	6	5	9	8	72	1	1	1	0	0	0	0	1	0	0	0	0	4	6	6	6	6	6	6	6	5	4	6	 	0	CUT	1	1	1	3
35	2	1	3	4	7	2	2	0	3	2	6	7	1	3	4	3	3	7	7	7	7	7	7	7	6	1	7	7	1	35	3	4	1	6	8	3	2	1	7	10	5	8	4	9	6	20	0	0	0	0	0	0	0	0	0	0	0	1	1	7	1	7	7	1	5	7	7	1	1	 	12	 	1	1	1	5
36	4	1	2	4	7	2	2	0	3	3	6	27	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	1	56	3	2	5	9	8	1	4	3	5	10	2	7	6	9	8	81	1	1	1	0	0	0	0	0	0	0	0	0	6	6	6	6	6	3	5	6	6	6	6	7	-17	 	4	2	1	6
37	2	2	3	9	7	2	2	0	3	2	8	7	1	3	4	3	3	5	6	4	5	5	5	2	5	2	5	2	1	12	3	4	4	7	6	5	1	6	2	10	3	4	7	9	8	78	1	0	1	0	0	0	0	0	0	0	1	0	2	5	4	6	4	5	5	6	6	3	3	 	-12	 	2	1	1	5
38	5	1	2	28	39	5	1	1	1	7	42	20	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	52	1	2	5	4	8	2	1	7	4	9	3	6	5	10	8	8	0	0	0	0	0	0	0	0	0	0	0	1	1	6	1	5	7	6	6	6	5	2	1	 	1	 	1	1	1	6
39	2	2	3	4	7	2	2	0	3	2	8	18	1	3	4	3	1	4	5	2	5	4	7	7	3	5	3	7	1	32	2	3	6	1	4	6	4	7	5	10	3	1	2	9	8	10	0	0	0	0	0	0	0	0	0	0	0	1	2	4	6	6	6	5	6	6	6	5	4	1	-1	 	3	2	1	5
40	4	1	3	4	7	2	2	0	3	4	9	10	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	1	29	3	5	4	5	7	3	2	4	6	9	5	8	7	10	1	1	0	0	0	0	0	0	0	0	0	0	0	1	6	7	4	7	7	7	6	2	7	4	4	4	-2	 	3	2	1	5
41	1	2	2	8	7	3	2	0	3	2	6	8	1	3	4	3	1	7	5	4	6	6	6	5	7	1	7	6	1	40	3	5	3	6	9	3	1	2	4	10	6	8	5	9	7	29	1	1	1	0	1	0	0	1	0	0	0	0	4	6	4	6	6	7	4	7	7	6	4	 	5	 	1	1	1	6
42	2	2	3	4	7	2	2	1	1	3	8	9	1	2	3	3	2	7	7	4	7	2	4	2	7	2	4	2	1	50	3	5	4	8	5	2	1	5	7	10	4	3	6	9	8	71	0	0	1	0	0	1	0	1	0	0	0	0	1	5	6	7	7	7	3	7	7	2	3	 	-3	 	2	1	1	5
43	3	1	2	26	27	5	1	1	1	7	36	29	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	32	2	3	9	3	6	2	1	3	4	10	6	8	5	7	9	19	0	0	1	0	0	0	0	0	0	0	0	0	7	7	2	7	5	7	6	7	6	1	3	 	3	 	1	1	1	6
44	3	2	8	17	20	2	1	1	1	7	23	16	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	25	3	2	7	2	9	5	3	8	4	9	6	7	2	10	1	48	1	1	1	0	0	1	0	0	1	0	1	0	4	7	5	5	6	6	6	5	6	4	4	1	-16	 	5	2	1	2
45	3	2	3	16	22	2	1	1	1	4	20	11	1	2	2	2	3	5	5	5	5	5	4	4	5	4	4	4	1	39	2	4	2	5	4	5	3	2	7	8	6	4	1	10	9	34	1	1	1	0	0	0	0	1	0	0	0	0	1	6	2	6	6	7	6	7	6	1	6	 	-17	 	3	2	1	5
46	2	1	1	18	15	2	3	1	1	6	21	19	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	34	2	2	6	5	8	5	1	3	7	10	2	6	4	9	8	5	1	1	1	1	1	0	1	1	1	1	0	0	2	1	2	6	7	4	7	5	7	3	1	 	-2	 	1	1	1	7
47	3	2	4	10	14	2	1	1	1	4	14	17	1	2	2	2	1	3	5	2	4	4	2	1	4	1	4	1	1	26	2	3	8	6	7	1	2	7	5	8	4	3	6	9	10	11	1	1	1	0	0	1	0	1	0	0	0	0	1	5	1	5	4	4	4	6	3	1	2	1	-8	 	2	1	1	4
48	3	2	2	16	15	2	1	1	1	7	25	7	1	2	2	2	2	7	7	7	7	4	4	7	7	7	7	4	1	35	3	1	6	7	8	7	3	5	2	10	4	6	1	9	8	64	1	1	0	0	0	0	0	1	0	0	0	0	4	7	1	7	7	1	7	7	7	6	7	 	-7	 	1	1	1	6
49	2	1	2	10	12	2	2	1	1	4	6	7	1	2	3	3	2	3	6	7	7	7	1	5	1	5	1	5	1	8	4	6	4	6	7	4	1	7	3	10	2	8	6	9	5	20	1	1	1	0	1	 	1	1	1	1	0	0	1	7	7	5	7	6	7	7	6	4	1	 	2	 	1	1	4	6
50	3	2	1	15	14	4	3	1	1	3	14	13	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	42	3	4	4	3	5	5	3	9	4	10	2	6	1	8	7	14	0	0	1	0	0	0	0	0	0	0	0	0	7	7	4	7	7	7	7	7	7	1	1	 	-7	 	2	1	1	7
51	4	2	9	20	15	4	1	1	1	7	36	7	1	2	2	2	3	3	5	6	5	4	4	3	4	3	4	2	1	38	1	3	8	5	7	1	2	5	9	10	3	7	6	8	4	25	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	6	6	4	4	6	6	2	6	 	-17	 	4	2	3	1
52	2	2	2	6	7	2	2	0	4	1	6	8	1	3	4	3	2	6	7	7	7	7	5	5	6	4	7	3	1	23	3	3	10	8	9	3	1	5	2	10	4	8	7	9	6	60	0	0	1	0	0	0	0	0	0	0	0	0	1	5	1	7	7	4	6	7	7	1	1	1	0	 	1	1	1	6
53	2	1	2	21	29	4	1	1	1	5	27	12	1	2	2	2	2	2	7	5	1	6	1	1	4	3	4	2	1	45	3	3	10	5	8	2	3	7	5	10	1	4	9	6	8	8	0	0	0	0	0	0	0	0	0	1	0	0	1	7	2	5	2	7	5	7	6	2	3	 	-7	 	3	2	1	6
54	3	1	2	24	31	2	1	1	2	5	26	17	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	46	1	5	7	2	6	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	0	CUT	1	1	4	6
55	4	2	3	14	14	3	2	1	1	5	15	10	1	2	3	3	2	4	7	7	7	4	4	5	7	7	7	3	1	47	3	7	2	6	7	2	1	3	6	9	5	8	4	10	7	51	0	1	0	0	1	0	1	1	1	0	0	0	7	7	5	7	7	7	5	7	7	5	5	 	0	CUT	2	1	1	5
56	4	1	10	12	12	2	1	1	1	5	24	11	1	2	2	2	2	2	6	2	5	5	4	1	4	1	4	2	1	49	2	3	6	7	8	5	2	1	3	10	7	4	8	9	6	32	0	0	0	0	0	0	0	0	0	0	0	1	4	1	2	6	2	6	6	6	3	2	3	 	-6	 	3	2	1	 
57	4	1	3	16	24	2	1	1	1	4	26	21	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	47	2	2	7	4	5	2	3	8	4	9	1	7	5	10	6	16	0	0	0	0	0	1	0	0	0	0	0	0	3	4	4	6	6	5	5	5	6	4	3	 	0	CUT	2	1	1	5
58	3	2	2	27	49	2	2	0	3	2	6	7	1	3	4	3	3	4	7	4	5	6	6	5	4	5	6	5	1	48	3	4	2	5	7	3	1	2	7	9	5	8	4	10	6	25	0	0	0	0	0	0	0	0	0	0	0	1	1	7	1	7	6	5	5	7	6	4	1	 	-9	 	1	1	1	6
59	4	2	3	23	32	5	3	1	1	6	29	29	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	42	2	4	3	2	4	2	1	3	6	10	5	4	7	8	9	10	0	0	0	0	0	0	0	0	0	0	0	1	7	7	4	7	7	6	6	7	7	3	7	1	-10	 	5	2	1	5
60	4	2	8	25	35	5	1	1	1	5	30	35	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	2	40	1	5	9	1	2	3	2	4	8	10	5	7	1	6	9	76	0	0	0	0	0	1	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	0	CUT	1	1	1	2
61	2	2	2	4	7	2	2	1	1	6	6	7	1	2	3	3	3	7	7	6	7	7	7	7	7	7	7	7	1	22	2	4	4	6	7	1	2	10	3	9	5	4	6	8	7	15	1	1	1	1	1	1	0	1	1	1	1	0	1	6	5	6	1	5	5	7	5	5	5	 	0	CUT	3	2	1	6
62	4	2	9	21	31	3	1	1	1	4	25	25	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	40	4	4	8	4	5	1	2	7	3	10	4	6	5	9	8	30	0	0	0	1	0	0	0	0	0	0	0	0	2	6	2	6	4	4	5	5	5	2	4	4	-11	 	1	1	1	1
63	3	1	2	23	30	3	1	1	2	5	25	40	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	34	1	5	6	2	1	5	1	7	4	9	3	6	2	8	10	3	0	0	0	0	0	0	0	0	0	0	0	1	6	6	3	7	4	3	2	6	6	4	7	 	-9	 	3	2	1	6
64	2	2	3	4	7	1	2	0	3	1	6	13	1	3	4	3	3	7	7	7	7	7	7	7	7	5	7	7	1	8	3	6	6	8	9	2	3	7	8	10	4	5	6	9	1	85	0	0	1	0	0	0	0	0	0	0	0	0	7	5	7	7	7	7	7	7	7	3	1	 	-13	 	3	2	4	5
65	2	2	2	22	31	5	1	1	1	6	37	33	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	37	1	5	7	1	3	1	5	8	3	10	2	4	6	9	7	11	0	0	0	0	0	0	0	0	0	1	0	0	2	6	4	7	4	7	5	7	5	6	5	2	-20	 	4	2	3	6
66	3	2	3	4	7	1	3	1	1	7	24	7	1	2	2	2	3	7	1	5	5	3	7	1	3	7	1	1	1	45	3	6	6	8	7	3	1	8	7	10	4	5	2	9	6	90	0	0	0	0	0	0	0	0	0	0	0	1	5	1	1	6	7	5	5	7	7	7	1	7	-23	 	3	2	4	5
67	2	2	4	4	7	1	2	0	4	1	6	7	1	3	4	3	3	7	7	7	7	7	7	7	7	1	7	7	1	27	3	4	1	9	10	3	2	1	8	9	5	7	6	10	4	51	0	0	0	0	0	0	0	0	0	0	0	1	1	7	1	7	7	7	7	7	7	1	1	1	20	 	3	2	1	4
68	3	1	5	4	7	1	2	0	3	1	6	7	1	3	4	3	3	7	7	7	1	7	7	1	7	1	7	7	1	34	3	3	1	8	9	2	1	4	8	10	3	6	5	7	9	81	0	0	0	0	0	0	0	0	0	0	0	1	6	7	3	7	7	3	3	7	7	3	2	 	-7	 	5	2	1	3
69	2	2	3	5	13	2	2	1	3	3	9	7	1	2	3	3	3	4	7	6	5	6	6	6	6	5	5	5	1	30	3	3	9	2	10	9	1	6	8	7	4	3	2	10	5	52	1	0	0	0	0	1	1	0	0	0	0	0	2	5	6	6	7	1	6	6	7	5	7	5	-7	 	2	1	3	5
70	2	1	2	28	43	3	3	1	2	7	33	23	1	2	2	2	3	5	3	7	7	5	2	4	2	5	4	6	1	38	1	4	6	3	5	5	2	4	6	10	1	7	3	8	9	4	1	0	0	0	0	0	0	0	0	0	0	0	1	7	1	7	7	7	1	7	7	5	5	 	-15	 	1	1	3	6
71	2	1	1	20	20	4	3	0	3	4	31	16	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	1	46	2	5	5	2	1	1	3	2	4	10	5	6	7	9	8	11	1	1	1	0	0	0	0	0	0	1	0	0	1	6	1	7	7	1	7	7	6	7	6	 	-12	 	3	2	1	7
72	3	1	2	18	19	4	1	1	1	7	12	22	1	2	2	2	3	4	4	4	1	4	4	4	1	4	4	4	1	33	1	5	6	2	5	6	5	4	3	9	1	7	2	10	8	11	0	0	0	0	0	0	0	0	0	0	0	1	4	7	4	3	4	4	4	4	3	4	5	 	-9	 	5	2	1	6
73	3	2	6	18	22	2	2	1	1	7	31	25	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	40	2	5	9	2	4	5	2	8	3	10	1	7	4	6	9	30	0	0	0	0	0	0	0	0	1	0	0	0	7	7	7	7	7	7	7	7	7	7	7	4	-8	 	5	2	1	 
74	3	2	2	28	48	5	1	1	1	6	29	9	1	2	2	2	2	2	5	4	6	5	1	5	2	5	5	4	1	56	1	4	5	3	7	3	1	2	7	10	6	5	4	8	9	18	0	0	0	0	0	0	0	0	0	0	0	1	1	7	4	4	2	6	6	5	4	4	5	 	0	CUT	1	1	1	6
75	4	2	3	28	44	5	1	1	1	7	42	43	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	49	1	4	8	1	2	2	6	7	5	10	3	4	1	9	8	15	0	0	0	0	0	0	0	0	0	0	0	1	5	5	4	5	4	5	5	6	3	5	6	1	-8	 	2	1	1	5
76	1	2	3	14	19	2	1	1	1	5	24	16	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	43	2	3	4	7	3	1	2	6	4	9	3	5	7	10	8	38	0	1	1	0	1	1	0	0	0	0	0	0	5	7	7	3	7	7	7	4	6	6	4	 	-13	 	3	2	1	5
77	3	2	3	6	7	1	2	0	3	2	6	7	1	3	4	3	2	7	6	6	5	6	6	1	4	2	6	1	1	49	3	3	2	8	9	5	1	4	8	10	2	6	3	9	7	5	0	0	1	0	0	0	0	0	0	0	0	0	1	4	1	7	6	4	4	6	6	1	2	 	-2	 	5	2	1	5
78	1	1	3	7	8	2	2	1	1	7	18	13	1	2	3	3	1	5	5	7	7	7	4	1	1	1	6	1	1	31	2	2	5	9	8	1	2	6	8	9	3	7	5	10	4	20	0	0	0	0	0	0	0	0	0	0	0	1	6	6	1	7	7	7	6	6	7	6	1	 	-9	 	1	1	4	5
79	2	2	4	28	38	5	3	1	1	7	39	37	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	32	2	5	7	4	6	3	1	9	4	7	8	5	2	6	10	9	1	1	1	1	0	1	1	1	0	0	0	0	6	6	5	4	4	6	4	4	4	4	4	1	0	CUT	3	2	2	4
80	4	2	4	11	11	3	1	1	1	4	17	26	1	2	2	2	2	3	4	5	4	3	2	2	5	5	6	2	1	33	2	2	7	1	2	3	1	6	5	10	2	4	8	9	7	10	1	1	1	0	0	0	0	1	0	0	0	0	5	6	5	7	7	6	6	6	7	3	5	 	0	CUT	2	1	1	4
81	4	1	2	25	23	4	1	1	1	6	28	19	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	51	2	5	6	4	3	4	1	5	2	9	3	8	7	10	6	15	1	1	0	0	0	0	0	0	0	0	0	0	5	5	5	4	5	6	3	6	6	5	3	6	1	 	3	2	3	6
82	3	1	4	14	22	4	1	1	1	5	26	15	0	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	47	1	4	4	2	5	6	3	2	4	8	1	7	5	10	9	1	0	1	0	0	1	0	0	0	0	0	0	0	6	6	3	6	5	6	6	7	7	7	6	 	0	CUT	4	2	1	4
